rule_id,rule_text,rule_type,train_accuracy,val_accuracy,train_f1,val_f1,complexity,support,confidence,source_model,grammar_valid,dnf_valid,variables_used,n_predicates
DT_d4_r3,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius <= 0.6266 AND initial_heading_error <= -0.5728,pass,0.9625,0.9000,0.9388,0.8462,4,1,0.6000,decision_tree,True,True,initial_heading_error; obstacle_radius,4
DT_d4_r4,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius <= 0.6266 AND initial_heading_error > -0.5728,fail,0.9625,0.9000,0.9388,0.8462,4,1,0.9459,decision_tree,True,True,initial_heading_error; obstacle_radius,4
DT_DNF_d4_pass,(initial_heading_error <= 0.8236 AND initial_heading_error <= -1.0574 AND initial_speed <= 0.7535) OR (initial_heading_error <= 0.8236 AND initial_heading_error <= -1.0574 AND initial_speed > 0.7535) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius <= 0.6266 AND initial_heading_error <= -0.5728) OR initial_heading_error > 0.8236,pass,0.9625,0.9000,0.9388,0.8462,11,4,0.8000,decision_tree_dnf,True,True,initial_heading_error; initial_speed; obstacle_radius,11
DT_DNF_d4_fail,(initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius <= 0.6266 AND initial_heading_error > -0.5728) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius > 0.6266),fail,0.9625,0.9000,0.9388,0.8462,7,2,0.9730,decision_tree_dnf,True,True,initial_heading_error; obstacle_radius,7
DT_d5_r4,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius <= 0.6266 AND initial_heading_error > -0.5728 AND initial_heading_error <= 0.1928,fail,0.9625,0.9000,0.9388,0.8462,5,1,1.0000,decision_tree,True,True,initial_heading_error; obstacle_radius,5
DT_d5_r5,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius <= 0.6266 AND initial_heading_error > -0.5728 AND initial_heading_error > 0.1928,fail,0.9625,0.9000,0.9388,0.8462,5,1,0.7143,decision_tree,True,True,initial_heading_error; obstacle_radius,5
DT_DNF_d5_fail,(initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius <= 0.6266 AND initial_heading_error > -0.5728 AND initial_heading_error <= 0.1928) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius <= 0.6266 AND initial_heading_error > -0.5728 AND initial_heading_error > 0.1928) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.0574 AND obstacle_radius > 0.6266),fail,0.9625,0.9000,0.9388,0.8462,13,3,0.9048,decision_tree_dnf,True,True,initial_heading_error; obstacle_radius,13
RF_t84_r1,initial_heading_error <= 0.8236 AND initial_heading_error <= -1.4238,pass,0.9750,1.0000,0.9565,0.9091,2,1,1.0000,random_forest,True,True,initial_heading_error,2
RF_t84_r2,initial_heading_error <= 0.8236 AND initial_heading_error > -1.4238 AND initial_heading_error <= -0.7406 AND initial_speed <= 1.3785,fail,0.9750,1.0000,0.9565,0.9091,4,1,1.0000,random_forest,True,True,initial_heading_error; initial_speed,4
RF_t84_r3,initial_heading_error <= 0.8236 AND initial_heading_error > -1.4238 AND initial_heading_error <= -0.7406 AND initial_speed > 1.3785,pass,0.9750,1.0000,0.9565,0.9091,4,1,0.8750,random_forest,True,True,initial_heading_error; initial_speed,4
RF_t84_r4,initial_heading_error <= 0.8236 AND initial_heading_error > -1.4238 AND initial_heading_error > -0.7406 AND initial_distance_to_obstacle <= 2.1803,fail,0.9750,1.0000,0.9565,0.9091,4,1,1.0000,random_forest,True,True,initial_heading_error; initial_distance_to_obstacle,4
RF_t84_r5,initial_heading_error <= 0.8236 AND initial_heading_error > -1.4238 AND initial_heading_error > -0.7406 AND initial_distance_to_obstacle > 2.1803,fail,0.9750,1.0000,0.9565,0.9091,4,1,0.9091,random_forest,True,True,initial_heading_error; initial_distance_to_obstacle,4
RF_DNF_t84_pass,(initial_heading_error <= 0.8236 AND initial_heading_error <= -1.4238) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.4238 AND initial_heading_error <= -0.7406 AND initial_speed > 1.3785) OR initial_heading_error > 0.8236,pass,0.9750,1.0000,0.9565,0.9091,7,3,0.9583,random_forest_dnf,True,True,initial_heading_error; initial_speed,7
RF_DNF_t84_fail,(initial_heading_error <= 0.8236 AND initial_heading_error > -1.4238 AND initial_heading_error <= -0.7406 AND initial_speed <= 1.3785) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.4238 AND initial_heading_error > -0.7406 AND initial_distance_to_obstacle <= 2.1803) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.4238 AND initial_heading_error > -0.7406 AND initial_distance_to_obstacle > 2.1803),fail,0.9750,1.0000,0.9565,0.9091,12,3,0.9697,random_forest_dnf,True,True,initial_heading_error; initial_speed; initial_distance_to_obstacle,12
RF_t19_r1,obstacle_radius <= 0.8762 AND initial_heading_error <= 0.8236 AND initial_distance_to_obstacle <= 2.2733 AND initial_heading_error <= -0.8937,pass,0.9750,0.9750,0.9565,0.9091,4,1,0.8824,random_forest,True,True,obstacle_radius; initial_heading_error; initial_distance_to_obstacle,4
RF_t19_r2,obstacle_radius <= 0.8762 AND initial_heading_error <= 0.8236 AND initial_distance_to_obstacle <= 2.2733 AND initial_heading_error > -0.8937,fail,0.9750,0.9750,0.9565,0.9091,4,1,0.9750,random_forest,True,True,obstacle_radius; initial_heading_error; initial_distance_to_obstacle,4
RF_t19_r3,obstacle_radius <= 0.8762 AND initial_heading_error <= 0.8236 AND initial_distance_to_obstacle > 2.2733 AND initial_heading_error <= -0.7341,pass,0.9750,0.9750,0.9565,0.9091,4,1,1.0000,random_forest,True,True,obstacle_radius; initial_heading_error; initial_distance_to_obstacle,4
RF_t19_r4,obstacle_radius <= 0.8762 AND initial_heading_error <= 0.8236 AND initial_distance_to_obstacle > 2.2733 AND initial_heading_error > -0.7341,fail,0.9750,0.9750,0.9565,0.9091,4,1,1.0000,random_forest,True,True,obstacle_radius; initial_heading_error; initial_distance_to_obstacle,4
RF_t19_r5,obstacle_radius <= 0.8762 AND initial_heading_error > 0.8236,pass,0.9750,0.9750,0.9565,0.9091,2,1,1.0000,random_forest,True,True,obstacle_radius; initial_heading_error,2
RF_t19_r6,obstacle_radius > 0.8762 AND obstacle_radius <= 0.9671,fail,0.9750,0.9750,0.9565,0.9091,2,1,1.0000,random_forest,True,True,obstacle_radius,2
RF_t19_r7,obstacle_radius > 0.8762 AND obstacle_radius > 0.9671,fail,0.9750,0.9750,0.9565,0.9091,2,1,0.8571,random_forest,True,True,obstacle_radius,2
RF_DNF_t19_pass,(obstacle_radius <= 0.8762 AND initial_heading_error <= 0.8236 AND initial_distance_to_obstacle <= 2.2733 AND initial_heading_error <= -0.8937) OR (obstacle_radius <= 0.8762 AND initial_heading_error <= 0.8236 AND initial_distance_to_obstacle > 2.2733 AND initial_heading_error <= -0.7341) OR (obstacle_radius <= 0.8762 AND initial_heading_error > 0.8236),pass,0.9750,0.9750,0.9565,0.9091,10,3,0.9608,random_forest_dnf,True,True,obstacle_radius; initial_heading_error; initial_distance_to_obstacle,10
RF_DNF_t19_fail,(obstacle_radius <= 0.8762 AND initial_heading_error <= 0.8236 AND initial_distance_to_obstacle <= 2.2733 AND initial_heading_error > -0.8937) OR (obstacle_radius <= 0.8762 AND initial_heading_error <= 0.8236 AND initial_distance_to_obstacle > 2.2733 AND initial_heading_error > -0.7341) OR (obstacle_radius > 0.8762 AND obstacle_radius <= 0.9671) OR (obstacle_radius > 0.8762 AND obstacle_radius > 0.9671),fail,0.9750,0.9750,0.9565,0.9091,12,4,0.9580,random_forest_dnf,True,True,obstacle_radius; initial_heading_error; initial_distance_to_obstacle,12
RF_t30_r1,initial_heading_error <= 0.6854 AND obstacle_radius <= 0.8169 AND initial_heading_error <= -0.963 AND initial_distance_to_obstacle <= 1.406,pass,0.9750,0.9750,0.9565,0.9091,4,1,0.8889,random_forest,True,True,initial_heading_error; obstacle_radius; initial_distance_to_obstacle,4
RF_t30_r2,initial_heading_error <= 0.6854 AND obstacle_radius <= 0.8169 AND initial_heading_error <= -0.963 AND initial_distance_to_obstacle > 1.406,pass,0.9750,0.9750,0.9565,0.9091,4,1,1.0000,random_forest,True,True,initial_heading_error; obstacle_radius; initial_distance_to_obstacle,4
RF_t30_r3,initial_heading_error <= 0.6854 AND obstacle_radius <= 0.8169 AND initial_heading_error > -0.963 AND initial_heading_error <= -0.6009,fail,0.9750,0.9750,0.9565,0.9091,4,1,0.7500,random_forest,True,True,initial_heading_error; obstacle_radius,4
RF_t30_r4,initial_heading_error <= 0.6854 AND obstacle_radius <= 0.8169 AND initial_heading_error > -0.963 AND initial_heading_error > -0.6009,fail,0.9750,0.9750,0.9565,0.9091,4,1,0.9833,random_forest,True,True,initial_heading_error; obstacle_radius,4
RF_t30_r5,initial_heading_error <= 0.6854 AND obstacle_radius > 0.8169,fail,0.9750,0.9750,0.9565,0.9091,2,1,1.0000,random_forest,True,True,initial_heading_error; obstacle_radius,2
RF_t30_r6,initial_heading_error > 0.6854,pass,0.9750,0.9750,0.9565,0.9091,1,1,1.0000,random_forest,True,True,initial_heading_error,1
RF_DNF_t30_pass,(initial_heading_error <= 0.6854 AND obstacle_radius <= 0.8169 AND initial_heading_error <= -0.963 AND initial_distance_to_obstacle <= 1.406) OR (initial_heading_error <= 0.6854 AND obstacle_radius <= 0.8169 AND initial_heading_error <= -0.963 AND initial_distance_to_obstacle > 1.406) OR initial_heading_error > 0.6854,pass,0.9750,0.9750,0.9565,0.9091,9,3,0.9630,random_forest_dnf,True,True,initial_heading_error; obstacle_radius; initial_distance_to_obstacle,9
RF_DNF_t30_fail,(initial_heading_error <= 0.6854 AND obstacle_radius <= 0.8169 AND initial_heading_error > -0.963 AND initial_heading_error <= -0.6009) OR (initial_heading_error <= 0.6854 AND obstacle_radius <= 0.8169 AND initial_heading_error > -0.963 AND initial_heading_error > -0.6009) OR (initial_heading_error <= 0.6854 AND obstacle_radius > 0.8169),fail,0.9750,0.9750,0.9565,0.9091,10,3,0.9111,random_forest_dnf,True,True,initial_heading_error; obstacle_radius,10
RF_t11_r1,initial_heading_error <= 0.8236 AND initial_heading_error <= -1.0271 AND initial_distance_to_obstacle <= 0.969,pass,0.9750,0.9500,0.9565,0.9091,3,1,0.8750,random_forest,True,True,initial_heading_error; initial_distance_to_obstacle,3
RF_t11_r2,initial_heading_error <= 0.8236 AND initial_heading_error <= -1.0271 AND initial_distance_to_obstacle > 0.969,pass,0.9750,0.9500,0.9565,0.9091,3,1,1.0000,random_forest,True,True,initial_heading_error; initial_distance_to_obstacle,3
RF_t11_r3,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error <= -0.7341,fail,0.9750,0.9500,0.9565,0.9091,3,1,0.6250,random_forest,True,True,initial_heading_error,3
RF_t11_r4,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed <= 0.1598,fail,0.9750,0.9500,0.9565,0.9091,4,1,0.6667,random_forest,True,True,initial_heading_error; initial_speed,4
RF_t11_r5,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,fail,0.9750,0.9500,0.9565,0.9091,4,1,1.0000,random_forest,True,True,initial_heading_error; initial_speed,4
RF_DNF_t11_pass,(initial_heading_error <= 0.8236 AND initial_heading_error <= -1.0271 AND initial_distance_to_obstacle <= 0.969) OR (initial_heading_error <= 0.8236 AND initial_heading_error <= -1.0271 AND initial_distance_to_obstacle > 0.969) OR initial_heading_error > 0.8236,pass,0.9750,0.9500,0.9565,0.9091,7,3,0.9583,random_forest_dnf,True,True,initial_heading_error; initial_distance_to_obstacle,7
RF_DNF_t11_fail,(initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error <= -0.7341) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed <= 0.1598) OR (initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598),fail,0.9750,0.9500,0.9565,0.9091,11,3,0.7639,random_forest_dnf,True,True,initial_heading_error; initial_speed,11
RF_t13_r1,initial_heading_error <= -1.0574 AND initial_speed <= 1.2372,pass,0.9750,0.9500,0.9565,0.9091,2,1,0.6000,random_forest,True,True,initial_heading_error; initial_speed,2
RF_t13_r2,initial_heading_error <= -1.0574 AND initial_speed > 1.2372,pass,0.9750,0.9500,0.9565,0.9091,2,1,1.0000,random_forest,True,True,initial_heading_error; initial_speed,2
RF_t13_r3,initial_heading_error > -1.0574 AND obstacle_radius <= 0.5504 AND initial_heading_error <= 0.6346 AND obstacle_radius <= 0.4199,fail,0.9750,0.9500,0.9565,0.9091,4,1,1.0000,random_forest,True,True,initial_heading_error; obstacle_radius,4
RF_t13_r4,initial_heading_error > -1.0574 AND obstacle_radius <= 0.5504 AND initial_heading_error <= 0.6346 AND obstacle_radius > 0.4199,fail,0.9750,0.9500,0.9565,0.9091,4,1,0.6154,random_forest,True,True,initial_heading_error; obstacle_radius,4
RF_t13_r5,initial_heading_error > -1.0574 AND obstacle_radius <= 0.5504 AND initial_heading_error > 0.6346,pass,0.9750,0.9500,0.9565,0.9091,3,1,1.0000,random_forest,True,True,initial_heading_error; obstacle_radius,3
RF_t13_r6,initial_heading_error > -1.0574 AND obstacle_radius > 0.5504 AND initial_distance_to_obstacle <= 2.0298 AND initial_heading_error <= 0.7062,fail,0.9750,0.9500,0.9565,0.9091,4,1,1.0000,random_forest,True,True,initial_heading_error; obstacle_radius; initial_distance_to_obstacle,4
RF_t13_r7,initial_heading_error > -1.0574 AND obstacle_radius > 0.5504 AND initial_distance_to_obstacle <= 2.0298 AND initial_heading_error > 0.7062,pass,0.9750,0.9500,0.9565,0.9091,4,1,1.0000,random_forest,True,True,initial_heading_error; obstacle_radius; initial_distance_to_obstacle,4
RF_t13_r8,initial_heading_error > -1.0574 AND obstacle_radius > 0.5504 AND initial_distance_to_obstacle > 2.0298,fail,0.9750,0.9500,0.9565,0.9091,3,1,1.0000,random_forest,True,True,initial_heading_error; obstacle_radius; initial_distance_to_obstacle,3
RF_DNF_t13_pass,(initial_heading_error <= -1.0574 AND initial_speed <= 1.2372) OR (initial_heading_error <= -1.0574 AND initial_speed > 1.2372) OR (initial_heading_error > -1.0574 AND obstacle_radius <= 0.5504 AND initial_heading_error > 0.6346) OR (initial_heading_error > -1.0574 AND obstacle_radius > 0.5504 AND initial_distance_to_obstacle <= 2.0298 AND initial_heading_error > 0.7062),pass,0.9750,0.9500,0.9565,0.9091,11,4,0.9000,random_forest_dnf,True,True,initial_heading_error; initial_speed; obstacle_radius; initial_distance_to_obstacle,11
RF_DNF_t13_fail,(initial_heading_error > -1.0574 AND obstacle_radius <= 0.5504 AND initial_heading_error <= 0.6346 AND obstacle_radius <= 0.4199) OR (initial_heading_error > -1.0574 AND obstacle_radius <= 0.5504 AND initial_heading_error <= 0.6346 AND obstacle_radius > 0.4199) OR (initial_heading_error > -1.0574 AND obstacle_radius > 0.5504 AND initial_distance_to_obstacle <= 2.0298 AND initial_heading_error <= 0.7062) OR (initial_heading_error > -1.0574 AND obstacle_radius > 0.5504 AND initial_distance_to_obstacle > 2.0298),fail,0.9750,0.9500,0.9565,0.9091,15,4,0.9038,random_forest_dnf,True,True,initial_heading_error; obstacle_radius; initial_distance_to_obstacle,15
